Symbol,Price,Volume
XLMBUSD,0.1197,6361157.0
ADABUSD,0.6374,1333751.0
CTXCBTC,7.5e-07,5275766.0
CTXCUSDT,0.0634,4315072.0
BCHBNB,0.7319,25.345
BCHBTC,0.006144,639.784
BCHUSDT,443.4,19361.893
BCHUSDC,443.5,4083.406
BCHTUSD,322.0,978.198
BCHBUSD,236.0,5621.972
BTCRUB,3900027.0,5.53197
ETHRUB,181477.6,461.2351
XRPRUB,56.31,964621.0
BNBRUB,22422.22,1382.907
TROYBNB,1.06e-05,154371549.0
TROYUSDT,6.9e-05,1612739544.0
BUSDRUB,90.39,5171555.0
QTUMBUSD,2.537,125833.4
VETBUSD,0.0212,30222515.8
VITEBTC,7e-08,43924459.0
VITEUSDT,0.00086,236768977.4
FTTBNB,0.00513,618063.4
FTTBTC,8.56e-05,368274.74
FTTUSDT,0.2992,722394.59
BTCTRY,3209801.0,109.29228
BNBTRY,27000.0,1081.547
BUSDTRY,29.33,466723.0
ETHTRY,98059.0,4698.7557
XRPTRY,60.27,3619133.8
USDTTRY,44.57,29047216.0
USDTRUB,91.1,392622.0
BTCEUR,61615.2,364.43901
ETHEUR,1882.33,5398.6248
BNBEUR,518.71,928.217
XRPEUR,1.1571,1755025.2
EURBUSD,1.0757,1108607.6
EURUSDT,1.1689,17080589.8
OGNBNB,0.000383,8630826.0
OGNBTC,3.4e-07,41108694.0
OGNUSDT,0.02192,32162768.0
DREPBTC,3.9e-07,11917794.0
DREPUSDT,0.0256,13959700.0
TCTBTC,1.6e-07,292984058.0
TCTUSDT,0.00312,152215525.0
WRXBNB,0.000398,2499265.1
WRXBTC,4.55e-06,2272644.4
WRXUSDT,0.0173,25499366.4
ICXBUSD,0.1642,2089458.2
BTSUSDT,0.0054,49593414.8
LSKUSDT,0.13,331814.6
BNTUSDT,0.2984,681157.4
BNTBUSD,0.3599,659485.1
LTOBTC,3e-08,32167278.0
LTOUSDT,0.0038,118743621.0
ATOMBUSD,11.219,25299.57
DASHBUSD,25.83,8979.374
NEOBUSD,6.73,41276.54
WAVESBUSD,2.216,237828.56
XTZBUSD,0.671,543733.0
BATBUSD,0.1709,1847047.0
ENJBUSD,0.2607,1843898.9
ONTBUSD,0.1574,2497480.0
RVNBUSD,0.01525,19269580.2
AIONUSDT,0.00943,55771436.0
MBLUSDT,0.000952,2079576927.0
COTIBNB,0.0002123,3436760.0
COTIBTC,1.7e-07,21971871.0
COTIUSDT,0.01368,18484177.0
ALGOBUSD,0.2071,3167737.0
TOMOBUSD,1.7807,153355.8
XMRBUSD,170.2,5823.139
ZECBUSD,25.5,26721.658
STPTBTC,6.7e-07,8235675.0
STPTUSDT,0.07042,6539537.4
BTCZAR,1505613.0,1.37668
ETHZAR,51704.0,220.5094
USDTZAR,16.5,851768.0
BUSDZAR,18.85,892088.0
WTCUSDT,0.0103,28831218.0
DATABUSD,0.02344,15349017.9
DATAUSDT,0.00088,109741867.2
SOLBNB,0.1387,14526.781
SOLBTC,0.0011663,82692.186
SOLUSDT,84.01,2818108.963
SOLBUSD,74.62,9085.48
USDTIDRT,15907.0,2647776.0
CTSIBTC,4.2e-07,5580382.0
CTSIUSDT,0.03053,43134101.0
CTSIBNB,0.0007983,751171.0
CTSIBUSD,0.1642,2058324.0
HIVEBTC,1.11e-06,4199032.0
HIVEUSDT,0.0602,3493511.0
CHRBNB,0.0004377,1400703.0
CHRBTC,5.6e-07,7345141.0
CHRUSDT,0.0179,40592344.0
BTCUPUSDT,16.6,8868.69
BTCDOWNUSDT,0.001185,132744672.7
ARDRUSDT,0.04453,691295.0
HBARBUSD,0.0602,11139023.0
MATICBUSD,0.8659,653272.5
WRXBUSD,0.1105,5264861.3
ZILBUSD,0.01583,32650233.9
MDTBTC,3e-07,16685166.0
MDTUSDT,0.0067,223635322.6
STMXBTC,1.6e-07,70625287.0
STMXETH,2.92e-06,118611137.0
STMXUSDT,0.004565,62904741.0
KNCBUSD,0.637,588786.0
KNCUSDT,0.1396,3862928.7
REPUSDT,4.73,99565.06
LRCBUSD,0.1728,3246050.0
LRCUSDT,0.01879,145219844.0
IQBUSD,0.00502,112093472.0
PNTBTC,8.64e-06,752691.0
PNTUSDT,0.035,10778397.0
BTCGBP,35986.75,48.71855
ETHGBP,1974.32,68.2043
XRPGBP,0.5257,1048897.0
BNBGBP,267.4,1365.733
GBPBUSD,1.239,1628848.2
DGBBTC,9e-08,111982867.0
DGBBUSD,0.00632,39370696.6
BTCUAH,4083721.0,4.80344
USDTUAH,44.78,75515.0
COMPBTC,0.000268,11961.608
COMPBUSD,45.79,7251.665
COMPUSDT,19.29,138420.083
BTCBIDR,1042508253.0,28.72418
ETHBIDR,47041943.0,474.0815
BNBBIDR,3335250.0,1341.006
BUSDBIDR,15559.0,2077202.0
USDTBIDR,15980.0,874696.2
SCUSDT,0.000982,114353921.0
ZENUSDT,5.879,1155144.1
SXPBTC,7.5e-07,5330067.4
SXPBNB,0.00044,1843259.9
SXPBUSD,0.3721,956095.5
SNXBTC,4.45e-06,957791.8
SNXBNB,0.01057,88392.8
SNXBUSD,1.936,244167.0
SNXUSDT,0.297,1908450.2
ETHUPUSDT,11.651,39682.04
ETHDOWNUSDT,0.0457,4099541.97
ADAUPUSDT,0.104,3821679.54
ADADOWNUSDT,0.001917,340525452.4
LINKUPUSDT,0.00608,27401275.94
LINKDOWNUSDT,0.000895,123547301.8
VTHOUSDT,0.000564,362733037.0
DGBUSDT,0.00469,38329174.3
GBPUSDT,1.18,180121.0
STORJBUSD,0.2371,2266509.0
SXPUSDT,0.0022,259832602.8
IRISBTC,1.4e-07,19867804.0
MKRBTC,0.01581,344.3623
MKRUSDT,1813.7,244.1798
MKRBUSD,1293.0,285.6825
RUNEBNB,0.001885,303077.6
RUNEBTC,5.53e-06,21858.2
RUNEBUSD,5.462,233998.1
MANABUSD,0.4388,1913865.0
DOGEBUSD,0.09742,4298960.0
ZRXBUSD,0.1689,1419619.0
DCRUSDT,21.79,32680.868
STORJUSDT,0.0955,5292005.0
BTCAUD,37210.08,39.79558
ETHAUD,2565.09,459.4215
AUDBUSD,0.7255,412067.0
FIOBTC,1.2e-07,16606366.0
FIOBUSD,0.01922,16016126.0
BNBUPUSDT,61.8,2599.53
BNBDOWNUSDT,0.002151,88637574.64
AVABTC,2.85e-06,194901.4
AVABUSD,0.47,540265.2
IOTABUSD,0.1431,2813889.0
MANAUSDT,0.0927,21172526.0
XRPAUD,0.7,1040195.0
BNBAUD,421.1,1598.881
AUDUSDT,0.7252,607479.0
BALBTC,3.122e-05,116258.28
BALBUSD,3.15,109687.48
YFIBTC,0.03781,114.33529
YFIBUSD,5325.0,79.37185
YFIUSDT,2526.0,101.94772
BLZBUSD,0.0553,5542560.0
BALUSDT,0.967,239235.66
BLZUSDT,0.0582,15047472.0
IRISUSDT,0.00521,67787369.1
KMDUSDT,0.0163,12791695.0
BTCDAI,68628.29,7.18344
ETHDAI,2106.68,2505.7133
BNBDAI,561.9,878.368
USDTDAI,1.0001,9513410.3
BUSDDAI,1.0,2172338.0
JSTBTC,9.6e-07,13427771.0
JSTBUSD,0.02103,17869733.0
JSTUSDT,0.06928,61828416.0
SRMBNB,0.00084,2448101.8
SRMBTC,1.523e-05,1055003.5
SRMBUSD,0.0353,10193701.6
SRMUSDT,0.24442,1875814.0
ANTBNB,0.01764,40075.8
ANTBTC,0.0001432,96573.7
ANTBUSD,4.303,50351.8
ANTUSDT,7.407,74121.7
CRVBTC,3.12e-06,154187.5
CRVBUSD,0.5041,1200590.5
CRVUSDT,0.2245,20590518.7
SANDBNB,0.000668,346230.0
SANDBTC,1.13e-06,40798.0
SANDUSDT,0.0794,29889632.0
SANDBUSD,0.3261,1076328.0
OCEANBNB,0.001044,472135.0
OCEANBTC,9.64e-06,399752.0
OCEANBUSD,0.2848,1971068.0
OCEANUSDT,0.6123,646661.0
NMRBTC,0.0001061,30354.25
NMRBUSD,11.43,22778.9
NMRUSDT,8.22,153414.47
DOTBNB,0.002182,37508.43
DOTBTC,1.835e-05,132386.48
DOTBUSD,7.373,131310.35
DOTUSDT,1.323,6210696.08
LUNABUSD,0.9442,946490.39
LUNAUSDT,0.0554,11349546.37
IDEXBTC,3.5e-07,11715991.0
IDEXBUSD,0.04879,5071779.0
RSRBNB,8.52e-06,164785652.0
RSRBUSD,0.00184,177583397.0
RSRUSDT,0.001499,339482991.1
PAXGBNB,6.469,86.6085
PAXGBTC,0.06588,52.1181
PAXGBUSD,1941.0,479.3954
PAXGUSDT,4747.67,7042.1946
WNXMUSDT,73.26,2428.38
TRBBTC,0.000227,10426.994
TRBBUSD,90.12,4808.74
TRBUSDT,15.03,63289.47
DOTBIDR,72297.0,105230.68
LINKAUD,7.986,99124.7
WBTCBTC,0.9976,74.1468
WBTCETH,32.63,0.0541
SUSHIBNB,0.002698,351400.4
SUSHIBTC,2.97e-06,1390430.3
SUSHIBUSD,0.566,606678.3
SUSHIUSDT,0.1953,1868376.7
YFIIBTC,0.07249,369.4707
YFIIUSDT,435.5,1767.0523
KSMBNB,0.0908,20868.834
KSMBTC,6.9e-05,52663.183
KSMBUSD,18.87,16687.533
KSMUSDT,4.26,91342.559
EGLDBNB,0.00666,34466.55
EGLDBTC,5.4e-05,4381.48
EGLDBUSD,41.53,14981.59
EGLDUSDT,3.9,94910.96
DIABTC,2.85e-06,576187.3
DIABUSD,0.2384,607933.3
DIAUSDT,0.1823,954360.1
RUNEUSDT,0.4,3296559.1
FIOUSDT,0.00482,723874189.0
UMABTC,8.75e-06,590147.0
UMAUSDT,0.415,1067101.8
TRXUPUSDT,0.03854,3687587.8
TRXDOWNUSDT,1.139,160536.28
XRPUPUSDT,0.0855,2393082.85
XRPDOWNUSDT,8.172e-05,1849130081.0
DOTUPUSDT,0.096,2132641.66
DOTDOWNUSDT,16.737,10609.63
LINKTRY,402.4,27279.82
USDTNGN,1518.4,385539.7
BELBNB,0.002538,422053.7
BELBTC,1.5e-06,2704507.9
BELBUSD,0.5356,569376.8
BELUSDT,0.1012,4538425.4
WINGBTC,0.0001093,75666.43
WINGBUSD,5.79,66050.41
WINGUSDT,0.326,906940.49
SXPEUR,0.2654,2812244.9
CREAMBUSD,19.86,21306.549
UNIBNB,0.01464,88310.95
UNIBTC,4.38e-05,47658.01
UNIBUSD,4.58,99831.69
UNIUSDT,3.154,3121202.41
NBSUSDT,0.00166,336485032.7
OXTBTC,2.5e-07,20396354.0
OXTUSDT,0.0124,208925146.0
SUNUSDT,0.01762,20508669.0
AVAXBNB,0.01478,54074.67
AVAXBTC,0.0001315,94427.2
AVAXBUSD,38.99,28815.42
AVAXUSDT,9.48,2832253.69
HNTBTC,0.0002357,69127.45
HNTUSDT,4.67,186891.97
BAKEBNB,0.0006028,978631.9
BURGERBNB,0.001536,874653.1
FLMBTC,1.6e-07,41834750.0
FLMUSDT,0.0167,16117772.0
SCRTBTC,1.46e-06,4370757.5
SCRTETH,0.000164,478354.0
CAKEBNB,0.002455,693.28
